date,new_cases,new_recovered,new_vaccines
2020-03-03,0,0,
2020-03-04,1,0,
2020-03-05,0,0,
2020-03-06,4,0,
2020-03-07,1,0,
2020-03-08,5,0,
2020-03-09,6,0,
2020-03-10,5,0,
2020-03-11,9,0,
2020-03-12,20,0,
2020-03-13,17,0,
2020-03-14,35,0,
2020-03-15,21,0,
2020-03-16,52,0,
2020-03-17,61,0,
2020-03-18,48,0,
2020-03-19,68,0,
2020-03-20,70,0,
2020-03-21,111,0,
2020-03-22,99,0,
2020-03-23,115,0,
2020-03-24,152,0,
2020-03-25,151,0,
2020-03-26,170,0,
2020-03-27,168,0,
2020-03-28,249,0,
2020-03-29,224,0,
2020-03-30,193,0,
2020-03-31,256,0,
2020-04-01,243,0,
2020-04-02,392,0,
2020-04-03,437,116,
2020-04-04,244,18,
2020-04-05,475,28,
2020-04-06,311,29,
2020-04-07,435,31,
2020-04-08,356,62,
2020-04-09,370,34,
2020-04-10,380,57,
2020-04-11,401,64,
2020-04-12,318,48,
2020-04-13,260,131,
2020-04-14,269,50,
2020-04-15,380,106,
2020-04-16,336,92,
2020-04-17,461,115,
2020-04-18,363,59,
2020-04-19,545,93,
2020-04-20,306,164,
2020-04-21,263,216,
2020-04-22,313,227,
2020-04-23,342,204,
2020-04-24,381,182,
2020-04-25,381,139,
2020-04-26,344,201,
2020-04-27,285,189,
2020-04-28,316,370,
2020-04-29,422,211,
2020-04-30,237,255,
2020-05-01,228,271,
2020-05-02,270,183,
2020-05-03,318,150,
2020-05-04,313,185,
2020-05-05,425,375,
2020-05-06,309,207,
2020-05-07,307,322,
2020-05-08,319,253,
2020-05-09,285,261,
2020-05-10,345,118,
2020-05-11,330,315,
2020-05-12,595,279,
2020-05-13,283,286,
2020-05-14,411,222,
2020-05-15,401,257,
2020-05-16,241,276,
2020-05-17,272,177,
2020-05-18,356,275,
2020-05-19,383,280,
2020-05-20,471,269,
2020-05-21,404,279,
2020-05-22,476,246,
2020-05-23,312,217,
2020-05-24,395,82,
2020-05-25,305,744,
2020-05-26,443,310,
2020-05-27,399,230,
2020-05-28,352,132,
2020-05-29,330,324,
2020-05-30,416,255,
2020-05-31,215,178,
2020-06-01,379,277,
2020-06-02,230,288,
2020-06-03,292,213,
2020-06-04,361,183,
2020-06-05,362,231,
2020-06-06,576,214,
2020-06-07,575,143,
2020-06-08,599,198,
2020-06-09,400,215,
2020-06-10,282,285,
2020-06-11,359,109,
2020-06-12,376,299,
2020-06-13,440,122,
2020-06-14,375,157,
2020-06-15,396,271,
2020-06-16,407,267,
2020-06-17,506,396,
2020-06-18,314,381,
2020-06-19,301,483,
2020-06-20,304,502,
2020-06-21,311,393,
2020-06-22,296,497,
2020-06-23,300,561,
2020-06-24,294,520,
2020-06-25,298,564,
2020-06-26,276,754,
2020-06-27,319,576,
2020-06-28,193,349,
2020-06-29,247,384,
2020-06-30,239,510,
2020-07-01,382,418,
2020-07-02,371,442,
2020-07-03,259,476,
2020-07-04,314,619,
2020-07-05,231,220,
2020-07-06,205,272,
2020-07-07,257,640,
2020-07-08,277,599,
2020-07-09,262,571,
2020-07-10,265,587,
2020-07-11,305,513,
2020-07-12,370,367,
2020-07-13,299,241,
2020-07-14,267,736,
2020-07-15,264,436,
2020-07-16,333,577,
2020-07-17,353,419,
2020-07-18,339,368,
2020-07-19,358,247,
2020-07-20,279,232,
2020-07-21,399,368,
2020-07-22,380,402,
2020-07-23,418,456,
2020-07-24,458,422,
2020-07-25,584,334,
2020-07-26,443,103,
2020-07-27,337,187,
2020-07-28,502,147,
2020-07-29,512,453,
2020-07-30,615,344,
2020-07-31,657,387,
2020-08-01,658,335,
2020-08-02,548,172,
2020-08-03,575,175,
2020-08-04,680,265,
2020-08-05,640,321,
2020-08-06,726,399,
2020-08-07,809,362,
2020-08-08,843,288,
2020-08-09,624,186,
2020-08-10,619,273,
2020-08-11,551,461,
2020-08-12,715,350,
2020-08-13,811,401,
2020-08-14,832,491,
2020-08-15,771,277,
2020-08-16,594,229,
2020-08-17,595,284,
2020-08-18,597,456,
2020-08-19,735,382,
2020-08-20,767,548,
2020-08-21,903,632,
2020-08-22,900,522,
2020-08-23,581,265,
2020-08-24,548,336,
2020-08-25,763,615,
2020-08-26,729,698,
2020-08-27,887,688,
2020-08-28,791,751,
2020-08-29,759,656,
2020-08-30,631,446,
2020-08-31,502,392,
2020-09-01,550,835,
2020-09-02,595,728,
2020-09-03,612,1227,
2020-09-04,691,2526,
2020-09-05,567,1910,
2020-09-06,437,857,
2020-09-07,302,797,
2020-09-08,400,1225,
2020-09-09,421,934,
2020-09-10,506,779,
2020-09-11,594,877,
2020-09-12,603,934,
2020-09-13,502,438,
2020-09-14,377,451,
2020-09-15,605,562,
2020-09-16,600,615,
2020-09-17,837,587,
2020-09-18,757,549,
2020-09-19,1002,441,
2020-09-20,910,302,
2020-09-21,748,368,
2020-09-22,711,589,
2020-09-23,974,597,
2020-09-24,1136,582,
2020-09-25,1587,586,
2020-09-26,1584,578,
2020-09-27,1350,516,
2020-09-28,1306,535,
2020-09-29,1326,740,
2020-09-30,1552,706,
2020-10-01,1967,952,
2020-10-02,2292,856,
2020-10-03,2367,794,
2020-10-04,1934,549,
2020-10-05,2006,606,
2020-10-06,2236,1188,
2020-10-07,3003,1144,
2020-10-08,4280,1385,
2020-10-09,4739,1107,
2020-10-10,5300,1320,
2020-10-11,4178,899,
2020-10-12,4394,803,
2020-10-13,5068,1843,
2020-10-14,6526,1741,
2020-10-15,8099,2185,
2020-10-16,7705,4574,
2020-10-17,9622,2489,
2020-10-18,8536,1363,
2020-10-19,7482,1942,
2020-10-20,9291,2928,
2020-10-21,10040,3320,
2020-10-22,12107,2888,
2020-10-23,13632,4252,
2020-10-24,13628,3275,
2020-10-25,11742,2683,
2020-10-26,10241,3935,
